"","x"
"1",1220
"2",662.5
"3",1183.333
"4",740
"5",320
"6",341.667
"7",245
"8",670
"9",575
"10",175
"11",700
"12",1350
"13",2127.333
"14",600
"15",130
"16",200
"17",800
"18",1150
"19",400
"20",190
"21",105
"22",105
"23",145
"24",90
"25",600
"26",200
"27",91.5
"28",733.333
"29",400
"30",1175
"31",1008.333
"32",1800
"33",775
"34",340
"35",235
"36",525
"37",175
"38",625
"39",90
"40",400
"41",700
"42",125
"43",875
"44",80
"45",365
"46",750
"47",70
"48",175
"49",920
"50",75
"51",325
"52",1940
"53",155
"54",286.667
"55",775
"56",776.667
"57",110
"58",430
"59",630
"60",385
"61",450
"62",275
"63",191
"64",260
"65",640
"66",190
"67",737.5
"68",202.5
"69",135
"70",1600
"71",750
"72",780
"73",1670
"74",925
"75",250
"76",68
"77",500
"78",595
"79",200
"80",210
"81",350
"82",560
"83",500
"84",325
"85",326.667
"86",815
"87",75
"88",765
"89",90
"90",1450
"91",415
"92",512.5
"93",250
"94",140
"95",110
"96",195
"97",2460
"98",431.5
"99",1260
"100",750
"101",450
"102",210
"103",416.667
"104",420
"105",297.5
"106",305
"107",70
"108",300
"109",750
"110",487.5
"111",385
"112",773.333
"113",850
"114",1041.667
"115",708.333
"116",480
"117",1237.5
"118",525
"119",120
"120",265
"121",737.5
"122",70
"123",550
"124",90
"125",90
"126",1900
"127",625
"128",300
"129",185
"130",740
"131",650
